Project:,PALACIOS CARIBBEAN,,,,,,,,,,,,,,,,,,,,,,,,,
Material Details Date:,1/28/2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Components,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Quantity,Plies,Board Feet/Truss,Board Feet Total,Linear Feet/Truss,Linear Feet Total,Lumber Pieces/Truss,Lumber Pieces Total,Lumber Cost/Truss,Lumber Cost Total,Plate Count/Truss,Plate Count Total,Plates Cost/Truss,Plates Cost Total,Connector Count/Truss,Connector Count Total,Connector Cost/Truss,Connector Cost Total,Material Cost/Truss,Material Cost Total,Labor Cost/Board Foot,Labor Cost/Linear Foot,Labor Cost/Truss,Labor Cost Total,Total Cost/Truss,Total Cost
AS18HS 5x12,24,AS18HS,0.898,5,12,60,$0.99 ,$23.71 ,21.557,1440,FT-3D | T-3 | FT-5E | FT-5D | FT-5C,,,,,,,,,,,,,,,
AS18HS 6x10,16,AS18HS,0.898,6,10,60,$0.99 ,$15.81 ,14.371,960,T-3B,,,,,,,,,,,,,,,
AS18HS 6x14,4,AS18HS,1.257,6,14,84,$1.38 ,$5.53 ,5.03,336,FT-3C | FT-5B,,,,,,,,,,,,,,,
AS18HS 7x12,26,AS18HS,1.257,7,12,84,$1.38 ,$35.96 ,32.694,2184,HG-1 | FT-3C | T-3B,,,,,,,,,,,,,,,
AS18HS 7x8,14,AS18HS,0.838,7,8,56,$0.92 ,$12.91 ,11.736,784,HG-2 | FT-3A | FT-3B | T-3C,,,,,,,,,,,,,,,
AS20 10x10,16,AS20,1.15,10,10,100,$3.45 ,$55.21 ,18.403,1600,T-3B,,,,,,,,,,,,,,,
AS20 12x12,6,AS20,1.656,12,12,144,$4.97 ,$29.81 ,9.938,864,FT-3A | FT-3B,,,,,,,,,,,,,,,
AS20 2x4,520,AS20,0.092,2,4,8,$0.28 ,$143.54 ,47.848,4160,CJ-1A | HG-1 | HG-2 | FT-2A | FT-3A | FT-3B | FT-3C | FT-3D | T-3 | T-3A | T-3B | T-3C | T-4 | T-4C | T-4B | T-4A | KJ-4 | HG-4 | FT-5E | FT-5D | FT-5C | FT-5B | FT-5A | T-5E | T-5D | T-5C | T-5B | T-5A | T-5 | GT-5 | GT-6 | T-6 | T-6A | T-6B | FT-6A | FT-6B | FT-6C | FT-1A | FT-1B | FT-1C | FT-1D | FT-1E,,,,,,,,,,,,,,,
AS20 2x6,52,AS20,0.138,2,6,12,$0.41 ,$21.53 ,7.177,624,KJ-1 | FT-3A | T-3B | T-4 | FT-5E | FT-5B | T-6A | T-6B | FT-6B | FT-1B,,,,,,,,,,,,,,,
AS20 3x10,2,AS20,0.345,3,10,30,$1.04 ,$2.07 ,0.69,60,T-4A,,,,,,,,,,,,,,,
AS20 3x4,264,AS20,0.138,3,4,12,$0.41 ,$109.32 ,36.438,3168,EJ-1 | KJ-1 | HG-1 | EJ-2 | KJ-2 | HG-2 | FT-2A | FT-3A | FT-3B | FT-3C | FT-3D | T-3 | T-3A | T-3B | T-3C | T-4 | T-4C | T-4B | KJ-4 | HG-4 | FT-5A | T-5E | T-5D | T-5C | T-5B | T-5A | T-5 | GT-5 | GT-6 | T-6 | FT-1A | FT-1B | FT-1C | FT-1D | FT-1E,,,,,,,,,,,,,,,
AS20 3x5,52,AS20,0.173,3,5,15,$0.52 ,$26.91 ,8.972,780,HG-1 | KJ-2 | FT-2A | FT-3A | T-4C | T-4A | FT-5D | FT-5C | T-5C | GT-6 | T-6A | T-6B | FT-6C | FT-1A | FT-1B | FT-1C | FT-1D | FT-1E,,,,,,,,,,,,,,,
AS20 3x6,108,AS20,0.207,3,6,18,$0.62 ,$67.08 ,22.36,1944,CJ-2C | HG-2 | FT-2A | FT-3C | FT-3D | T-3A | T-3C | T-4 | T-4C | T-4B | T-4A | HG-4 | FT-5E | FT-5D | FT-5C | FT-5B | FT-5A | T-5E | T-5D | T-5C | T-5B | T-5A | T-5 | T-6B | FT-6A | FT-6B | FT-6C | FT-1A | FT-1B | FT-1C | FT-1D | FT-1E,,,,,,,,,,,,,,,
AS20 3x7,28,AS20,0.242,3,7,21,$0.72 ,$20.29 ,6.763,588,HG-1 | KJ-2 | FT-2A | FT-3B | T-4B | T-5E | T-5D | T-5B | FT-6B | FT-1A,,,,,,,,,,,,,,,
AS20 3x8,50,AS20,0.276,3,8,24,$0.83 ,$41.41 ,13.802,1200,HG-1 | KJ-2 | FT-3C | FT-3D | T-3 | T-3C | FT-5A | T-5E | T-5D | T-5C | T-5B | T-5A | T-5 | FT-6C | FT-1B,,,,,,,,,,,,,,,
AS20 3x9,10,AS20,0.311,3,9,27,$0.93 ,$9.32 ,3.106,270,CJ-1A | HG-2,,,,,,,,,,,,,,,
AS20 4x10,106,AS20,0.46,4,10,40,$1.38 ,$146.31 ,48.768,4240,FT-3A | FT-3B | FT-3C | FT-3D | T-3 | T-3A | T-3B,,,,,,,,,,,,,,,
AS20 4x12,20,AS20,0.552,4,12,48,$1.66 ,$33.13 ,11.042,960,FT-3C | FT-3D | T-3B,,,,,,,,,,,,,,,
AS20 4x4,24,AS20,0.184,4,4,16,$0.55 ,$13.25 ,4.417,384,CJ-1A | KJ-1 | T-3C | T-4 | T-4C | T-5A,,,,,,,,,,,,,,,
AS20 4x5,46,AS20,0.23,4,5,20,$0.69 ,$31.75 ,10.582,920,CJ-1B | CJ-2A | CJ-2B | FT-3C | T-3A | T-4A | EJ-4 | CJ-4A | FT-5E | FT-5D | FT-5C | FT-5B | FT-1B,,,,,,,,,,,,,,,
AS20 4x6,50,AS20,0.276,4,6,24,$0.83 ,$41.41 ,13.802,1200,EJ-2 | FT-3C | T-3B | EJ-4A | CJ-4B | T-5D | T-5A | FT-1A,,,,,,,,,,,,,,,
AS20 4x7,56,AS20,0.322,4,7,28,$0.97 ,$54.11 ,18.035,1568,EJ-2 | FT-3B | FT-3C | FT-3D | T-3 | T-3A | T-3C | KJ-4 | HG-4 | T-5C | T-5B,,,,,,,,,,,,,,,
AS20 4x8,10,AS20,0.368,4,8,32,$1.10 ,$11.04 ,3.681,320,FT-3A | T-3A,,,,,,,,,,,,,,,
AS20 5x10,2,AS20,0.575,5,10,50,$1.73 ,$3.45 ,1.15,100,HG-2,,,,,,,,,,,,,,,
AS20 5x12,20,AS20,0.69,5,12,60,$2.07 ,$41.41 ,13.802,1200,KJ-1 | T-3B,,,,,,,,,,,,,,,
AS20 5x14,42,AS20,0.805,5,14,70,$2.42 ,$101.45 ,33.816,2940,FT-3B | FT-3C | FT-3D | T-3 | T-3A,,,,,,,,,,,,,,,
AS20 5x16,8,AS20,0.92,5,16,80,$2.76 ,$22.08 ,7.361,640,FT-5E | FT-5D | FT-5C | FT-5B,,,,,,,,,,,,,,,
AS20 5x5,26,AS20,0.288,5,5,25,$0.86 ,$22.43 ,7.476,650,HG-2 | FT-5E | FT-5D | FT-5C | FT-5B | T-6 | T-6A | T-6B | FT-6A,,,,,,,,,,,,,,,
